Name;Position;Duration;EasyTag
16;00:01:10.000;00:00:16.000;EasyTag
5;00:01:26.000;00:00:01.000;EasyTag
2;00:01:27.000;00:00:11.000;EasyTag
7;00:01:38.000;00:00:02.000;EasyTag
12;00:01:40.000;00:00:02.000;EasyTag
18;00:01:42.000;00:00:02.000;EasyTag
6;00:01:44.000;00:00:01.000;EasyTag
20;00:01:45.000;00:00:02.000;EasyTag
13;00:01:47.000;00:00:02.000;EasyTag
8;00:01:49.000;00:00:02.000;EasyTag
15;00:01:51.000;00:00:01.000;EasyTag
14;00:01:52.000;00:00:01.000;EasyTag
9;00:01:53.000;00:00:01.000;EasyTag
21;00:01:54.000;00:00:01.000;EasyTag
4;00:01:55.000;00:00:01.000;EasyTag
19;00:01:56.000;00:00:01.000;EasyTag
11;00:01:57.000;00:00:01.000;EasyTag
17;00:01:58.000;00:00:05.000;EasyTag
3;00:02:03.000;00:00:56.000;EasyTag
16;00:02:59.000;00:00:18.000;EasyTag
5;00:03:17.000;00:00:02.000;EasyTag
2;00:03:19.000;00:00:31.000;EasyTag
7;00:03:50.000;00:00:17.000;EasyTag
20;00:04:07.000;00:00:02.000;EasyTag
13;00:04:09.000;00:00:03.000;EasyTag
12;00:04:12.000;00:00:06.000;EasyTag
14;00:04:18.000;00:00:00.000;EasyTag
15;00:04:18.000;00:00:04.000;EasyTag
8;00:04:22.000;00:00:02.000;EasyTag
21;00:04:24.000;00:00:02.000;EasyTag
9;00:04:26.000;00:00:01.000;EasyTag
19;00:04:27.000;00:00:01.000;EasyTag
4;00:04:28.000;00:00:01.000;EasyTag
17;00:04:29.000;00:00:01.000;EasyTag
18;00:04:30.000;00:00:02.000;EasyTag
6;00:04:32.000;00:00:07.000;EasyTag
11;00:04:39.000;00:00:14.000;EasyTag
3;00:04:53.000;00:00:08.000;EasyTag
16;00:05:01.000;00:00:16.000;EasyTag
5;00:05:17.000;00:00:02.000;EasyTag
2;00:05:19.000;00:00:46.000;EasyTag
7;00:06:05.000;00:00:22.000;EasyTag
21;00:06:27.000;00:00:03.000;EasyTag
9;00:06:30.000;00:00:08.000;EasyTag
13;00:06:38.000;00:00:02.000;EasyTag
12;00:06:40.000;00:00:03.000;EasyTag
20;00:06:43.000;00:00:04.000;EasyTag
19;00:06:47.000;00:00:01.000;EasyTag
4;00:06:48.000;00:00:04.000;EasyTag
14;00:06:52.000;00:00:01.000;EasyTag
15;00:06:53.000;00:00:02.000;EasyTag
17;00:06:55.000;00:00:02.000;EasyTag
18;00:06:57.000;00:00:06.000;EasyTag
6;00:07:03.000;00:00:02.000;EasyTag
8;00:07:05.000;00:00:02.000;EasyTag
11;00:07:07.000;00:00:04.000;EasyTag
16;00:07:11.000;00:00:07.000;EasyTag
5;00:07:18.000;00:00:01.000;EasyTag
2;00:07:19.000;00:00:28.000;EasyTag
3;00:07:47.000;00:00:32.000;EasyTag
7;00:08:19.000;00:00:10.000;EasyTag
21;00:08:29.000;00:00:03.000;EasyTag
9;00:08:32.000;00:00:33.000;EasyTag
13;00:09:05.000;00:00:07.000;EasyTag
16;00:09:12.000;00:00:01.000;EasyTag
12;00:09:13.000;00:00:03.000;EasyTag
5;00:09:16.000;00:00:00.000;EasyTag
2;00:09:16.000;00:00:04.000;EasyTag
20;00:09:20.000;00:00:07.000;EasyTag
19;00:09:27.000;00:00:02.000;EasyTag
4;00:09:29.000;00:00:06.000;EasyTag
11;00:09:35.000;00:00:03.000;EasyTag
18;00:09:38.000;00:00:02.000;EasyTag
17;00:09:40.000;00:00:02.000;EasyTag
6;00:09:42.000;00:00:02.000;EasyTag
8;00:09:44.000;00:00:05.000;EasyTag
14;00:09:49.000;00:00:01.000;EasyTag
15;00:09:50.000;00:00:55.000;EasyTag
21;00:10:45.000;00:00:03.000;EasyTag
9;00:10:48.000;00:00:17.000;EasyTag
7;00:11:05.000;00:00:03.000;EasyTag
5;00:11:12.000;00:00:01.000;EasyTag
2;00:11:13.000;00:00:03.000;EasyTag
16;00:11:16.000;00:00:19.000;EasyTag
13;00:11:35.000;00:00:01.000;EasyTag
12;00:11:36.000;00:00:01.000;EasyTag
19;00:11:37.000;00:00:02.000;EasyTag
4;00:11:39.000;00:00:06.000;EasyTag
11;00:11:45.000;00:00:09.000;EasyTag
18;00:11:54.000;00:00:04.000;EasyTag
6;00:11:58.000;00:00:02.000;EasyTag
17;00:12:00.000;00:00:08.000;EasyTag
15;00:12:08.000;00:00:01.000;EasyTag
14;00:12:09.000;00:00:03.000;EasyTag
20;00:12:12.000;00:00:14.000;EasyTag
8;00:12:26.000;00:00:09.000;EasyTag
3;00:12:35.000;00:00:27.000;EasyTag
21;00:13:02.000;00:00:02.000;EasyTag
9;00:13:04.000;00:00:01.000;EasyTag
5;00:13:05.000;00:00:01.000;EasyTag
2;00:13:06.000;00:00:32.000;EasyTag
19;00:13:38.000;00:00:01.000;EasyTag
4;00:13:39.000;00:00:13.000;EasyTag
16;00:13:52.000;00:00:09.000;EasyTag
7;00:14:01.000;00:00:01.000;EasyTag
13;00:14:02.000;00:00:02.000;EasyTag
12;00:14:04.000;00:00:06.000;EasyTag
18;00:14:10.000;00:00:03.000;EasyTag
6;00:14:13.000;00:00:01.000;EasyTag
11;00:14:14.000;00:00:16.000;EasyTag
17;00:14:30.000;00:00:09.000;EasyTag
14;00:14:39.000;00:00:01.000;EasyTag
15;00:14:40.000;00:00:04.000;EasyTag
20;00:14:44.000;00:00:23.000;EasyTag
21;00:15:07.000;00:00:02.000;EasyTag
9;00:15:09.000;00:00:10.000;EasyTag
2;00:15:19.000;00:00:02.000;EasyTag
5;00:15:21.000;00:00:07.000;EasyTag
8;00:15:28.000;00:00:04.000;EasyTag
3;00:15:32.000;00:00:18.000;EasyTag
16;00:15:50.000;00:00:20.000;EasyTag
11;00:16:10.000;00:00:16.000;EasyTag
19;00:16:26.000;00:00:01.000;EasyTag
4;00:16:27.000;00:00:15.000;EasyTag
7;00:16:42.000;00:00:01.000;EasyTag
13;00:16:43.000;00:00:01.000;EasyTag
12;00:16:44.000;00:00:02.000;EasyTag
18;00:16:46.000;00:00:03.000;EasyTag
6;00:16:49.000;00:00:01.000;EasyTag
17;00:16:50.000;00:00:29.000;EasyTag
20;00:17:19.000;00:00:09.000;EasyTag
15;00:17:28.000;00:00:02.000;EasyTag
14;00:17:30.000;00:00:01.000;EasyTag
2;00:17:31.000;00:00:02.000;EasyTag
5;00:17:33.000;00:00:02.000;EasyTag
21;00:17:35.000;00:00:02.000;EasyTag
9;00:17:37.000;00:00:29.000;EasyTag
8;00:18:06.000;00:00:13.000;EasyTag
16;00:18:19.000;00:00:02.000;EasyTag
3;00:18:21.000;00:00:04.000;EasyTag
11;00:18:25.000;00:00:15.000;EasyTag
2;00:18:40.000;00:00:01.000;EasyTag
5;00:18:41.000;00:00:03.000;EasyTag
18;00:18:44.000;00:00:02.000;EasyTag
6;00:18:46.000;00:00:03.000;EasyTag
7;00:18:49.000;00:00:06.000;EasyTag
13;00:18:55.000;00:00:02.000;EasyTag
12;00:18:57.000;00:00:05.000;EasyTag
14;00:19:02.000;00:00:02.000;EasyTag
15;00:19:04.000;00:00:05.000;EasyTag
20;00:19:09.000;00:00:01.000;EasyTag
9;00:19:10.000;00:00:04.000;EasyTag
19;00:19:14.000;00:00:02.000;EasyTag
4;00:19:16.000;00:00:07.000;EasyTag
17;00:19:23.000;00:00:24.000;EasyTag
8;00:19:47.000;00:00:13.000;EasyTag
16;00:20:00.000;00:00:13.000;EasyTag
5;00:20:13.000;00:00:07.000;EasyTag
2;00:20:20.000;00:00:02.000;EasyTag
18;00:20:22.000;00:00:21.000;EasyTag
11;00:20:43.000;00:00:06.000;EasyTag
6;00:20:49.000;00:00:09.000;EasyTag
3;00:20:58.000;00:00:07.000;EasyTag
13;00:21:05.000;00:00:01.000;EasyTag
7;00:21:06.000;00:00:02.000;EasyTag
12;00:21:08.000;00:00:01.000;EasyTag
21;00:21:09.000;00:00:01.000;EasyTag
9;00:21:10.000;00:00:03.000;EasyTag
19;00:21:13.000;00:00:00.000;EasyTag
14;00:21:13.000;00:00:02.000;EasyTag
15;00:21:15.000;00:00:01.000;EasyTag
4;00:21:16.000;00:00:06.000;EasyTag
