Name;Position;Duration;EasyTag
24;00:01:02.000;00:00:01.000;EasyTag
2;00:01:03.000;00:00:02.000;EasyTag
15;00:01:05.000;00:00:01.000;EasyTag
3;00:01:06.000;00:00:03.000;EasyTag
14;00:01:09.000;00:00:02.000;EasyTag
11;00:01:11.000;00:00:01.000;EasyTag
8;00:01:12.000;00:00:03.000;EasyTag
20;00:01:15.000;00:00:01.000;EasyTag
18;00:01:16.000;00:00:02.000;EasyTag
4;00:01:20.000;00:00:01.000;EasyTag
9;00:01:21.000;00:00:00.000;EasyTag
10;00:01:21.000;00:00:03.000;EasyTag
13;00:01:24.000;00:00:01.000;EasyTag
25;00:01:25.000;00:00:01.000;EasyTag
17;00:01:26.000;00:00:02.000;EasyTag
21;00:01:28.000;00:00:01.000;EasyTag
19;00:01:29.000;00:00:01.000;EasyTag
22;00:01:30.000;00:00:00.000;EasyTag
23;00:01:30.000;00:00:07.000;EasyTag
7;00:01:37.000;00:00:03.000;EasyTag
12;00:01:40.000;00:00:01.000;EasyTag
16;00:01:41.000;00:00:01.000;EasyTag
1;00:01:42.000;00:00:01.000;EasyTag
5;00:01:43.000;00:00:00.000;EasyTag
6;00:01:43.000;00:00:24.000;EasyTag
24;00:02:07.000;00:00:02.000;EasyTag
2;00:02:09.000;00:00:01.000;EasyTag
15;00:02:10.000;00:00:02.000;EasyTag
3;00:02:12.000;00:00:09.000;EasyTag
8;00:02:21.000;00:00:12.000;EasyTag
14;00:02:33.000;00:00:05.000;EasyTag
20;00:02:38.000;00:00:01.000;EasyTag
18;00:02:39.000;00:00:02.000;EasyTag
9;00:02:41.000;00:00:01.000;EasyTag
13;00:02:42.000;00:00:01.000;EasyTag
4;00:02:43.000;00:00:02.000;EasyTag
10;00:02:45.000;00:00:01.000;EasyTag
25;00:02:46.000;00:00:03.000;EasyTag
17;00:02:49.000;00:00:06.000;EasyTag
21;00:02:55.000;00:00:02.000;EasyTag
19;00:02:57.000;00:00:01.000;EasyTag
23;00:02:58.000;00:00:03.000;EasyTag
22;00:03:01.000;00:00:08.000;EasyTag
11;00:03:09.000;00:00:05.000;EasyTag
24;00:03:14.000;00:00:03.000;EasyTag
6;00:03:17.000;00:00:01.000;EasyTag
5;00:03:18.000;00:00:03.000;EasyTag
15;00:03:21.000;00:00:03.000;EasyTag
2;00:03:24.000;00:00:00.000;EasyTag
3;00:03:24.000;00:00:11.000;EasyTag
7;00:03:35.000;00:00:01.000;EasyTag
12;00:03:36.000;00:00:02.000;EasyTag
1;00:03:38.000;00:00:00.000;EasyTag
16;00:03:38.000;00:00:17.000;EasyTag
8;00:03:55.000;00:00:05.000;EasyTag
18;00:04:00.000;00:00:03.000;EasyTag
20;00:04:03.000;00:00:01.000;EasyTag
14;00:04:04.000;00:00:04.000;EasyTag
25;00:04:08.000;00:00:02.000;EasyTag
17;00:04:10.000;00:00:02.000;EasyTag
10;00:04:12.000;00:00:10.000;EasyTag
24;00:04:22.000;00:00:02.000;EasyTag
4;00:04:24.000;00:00:02.000;EasyTag
21;00:04:26.000;00:00:01.000;EasyTag
19;00:04:27.000;00:00:01.000;EasyTag
23;00:04:28.000;00:00:02.000;EasyTag
2;00:04:30.000;00:00:02.000;EasyTag
15;00:04:32.000;00:00:01.000;EasyTag
9;00:04:33.000;00:00:01.000;EasyTag
13;00:04:34.000;00:00:06.000;EasyTag
22;00:04:40.000;00:00:15.000;EasyTag
6;00:04:55.000;00:00:18.000;EasyTag
3;00:05:13.000;00:00:02.000;EasyTag
8;00:05:15.000;00:00:16.000;EasyTag
24;00:05:31.000;00:00:01.000;EasyTag
20;00:05:32.000;00:00:02.000;EasyTag
11;00:05:34.000;00:00:02.000;EasyTag
18;00:05:36.000;00:00:01.000;EasyTag
17;00:05:37.000;00:00:01.000;EasyTag
10;00:05:38.000;00:00:01.000;EasyTag
15;00:05:39.000;00:00:01.000;EasyTag
2;00:05:40.000;00:00:02.000;EasyTag
25;00:05:42.000;00:00:03.000;EasyTag
14;00:05:45.000;00:00:03.000;EasyTag
12;00:05:48.000;00:00:01.000;EasyTag
7;00:05:49.000;00:00:00.000;EasyTag
1;00:05:49.000;00:00:02.000;EasyTag
