Name;Position;Duration;EasyTag
4;00:01:07.000;00:00:03.000;EasyTag
16;00:01:10.000;00:00:01.000;EasyTag
2;00:01:11.000;00:00:02.000;EasyTag
25;00:01:13.000;00:00:01.000;EasyTag
23;00:01:14.000;00:00:01.000;EasyTag
6;00:01:15.000;00:00:01.000;EasyTag
19;00:01:16.000;00:00:02.000;EasyTag
26;00:01:18.000;00:00:01.000;EasyTag
9;00:01:19.000;00:00:01.000;EasyTag
12;00:01:20.000;00:00:01.000;EasyTag
10;00:01:21.000;00:00:00.000;EasyTag
8;00:01:21.000;00:00:02.000;EasyTag
13;00:01:23.000;00:00:02.000;EasyTag
5;00:01:25.000;00:00:02.000;EasyTag
17;00:01:27.000;00:00:02.000;EasyTag
18;00:01:29.000;00:00:02.000;EasyTag
24;00:01:31.000;00:00:02.000;EasyTag
14;00:01:33.000;00:00:01.000;EasyTag
3;00:01:34.000;00:00:02.000;EasyTag
21;00:01:36.000;00:00:02.000;EasyTag
27;00:01:38.000;00:00:03.000;EasyTag
7;00:01:41.000;00:00:02.000;EasyTag
11;00:01:43.000;00:00:19.000;EasyTag
28;00:02:02.000;00:00:02.000;EasyTag
22;00:02:04.000;00:00:14.000;EasyTag
4;00:02:18.000;00:00:02.000;EasyTag
25;00:02:20.000;00:00:01.000;EasyTag
23;00:02:21.000;00:00:06.000;EasyTag
26;00:02:27.000;00:00:02.000;EasyTag
19;00:02:29.000;00:00:02.000;EasyTag
9;00:02:31.000;00:00:10.000;EasyTag
6;00:02:41.000;00:00:06.000;EasyTag
13;00:02:47.000;00:00:04.000;EasyTag
12;00:02:51.000;00:00:01.000;EasyTag
24;00:02:52.000;00:00:01.000;EasyTag
18;00:02:53.000;00:00:02.000;EasyTag
2;00:02:55.000;00:00:01.000;EasyTag
16;00:02:56.000;00:00:03.000;EasyTag
10;00:02:59.000;00:00:00.000;EasyTag
8;00:02:59.000;00:00:02.000;EasyTag
27;00:03:01.000;00:00:10.000;EasyTag
14;00:03:11.000;00:00:03.000;EasyTag
